any,1100,1149,3120,3745,4454,4474,4707,5320,6377,7062,7535,8073,10209,10339,10611,11931,14309,18176,20918,21693,27797,28723,31450,34700
Y,69,69,69,79,69,69,69,69,89,69,69,79,69,69,,79,69,69,69,,,69,79,69
Y,389,429,389,449,419,429,419,419,419,429,419,449,379,419,,439,419,429,389,389,,419,429,389
Y,449,479,449,519,479,479,469,469,519,479,469,499,439,469,,489,479,479,449,449,,469,479,449
Y,499,529,499,569,529,529,529,539,619,529,529,549,499,529,,549,529,529,499,499,,539,529,499
Y,389,429,389,449,419,429,419,419,419,429,419,449,379,419,,439,419,429,389,389,,419,429,389
Y,449,479,449,519,479,479,469,469,519,479,469,499,439,469,,489,479,479,449,449,,469,479,449
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,499,529,499,569,529,529,529,539,619,529,529,549,499,529,,549,529,529,499,499,,539,529,499
Y,359,349,359,349,359,349,349,349,339,349,359,349,359,349,,349,349,359,359,359,,359,349,359
Y,419,399,419,419,399,399,399,399,399,399,399,419,419,399,,419,399,399,419,419,,399,419,419
Y,389,429,389,449,419,429,419,419,419,429,419,449,379,419,,439,419,429,389,389,,419,429,389
Y,449,479,449,519,479,479,469,469,519,479,469,499,439,469,,489,479,479,449,449,,469,479,449
Y,599,549,599,599,549,539,549,559,669,549,549,559,599,539,,559,549,549,599,599,,559,559,599
Y,629,559,629,579,549,559,559,569,659,549,549,549,629,549,,559,549,549,629,629,,569,549,629
Y,499,529,499,569,529,529,529,539,619,529,529,549,499,529,,549,529,529,499,499,,539,529,499
Y,199,219,199,269,219,219,219,219,229,219,219,199,199,219,,199,219,219,199,199,,219,219,199
Y,89,80,89,,80,80,80,80,49,80,80,50,89,80,,50,80,80,89,89,,80,50,89
Y,349,359,349,359,359,359,359,359,299,359,359,359,349,359,,359,359,359,349,349,,359,359,349
Y,259,,259,,,,,,,,,,259,,,,,,259,259,,,,259
Y,529,579,529,579,579,579,579,579,529,579,579,579,529,579,,579,579,579,529,529,,579,579,529
Y,969,839,969,859,839,839,839,839,939,839,839,849,969,839,,849,839,839,969,969,,839,849,969
Y,999,849,999,859,849,849,849,849,939,849,849,849,999,849,,849,849,849,999,999,,849,849,999
Y,89,99,,119,99,99,99,99,,99,99,119,,99,,119,99,99,89,89,,99,119,89
Y,169,189,169,199,189,189,189,189,199,189,189,189,169,189,,189,189,189,169,169,,189,189,169
Y,659,659,659,669,649,659,659,669,699,649,649,659,669,649,,659,649,649,659,669,,669,659,659
Y,259,,259,,,,,,,,,,259,,,,,,259,259,,,,259
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,419,419,419,419,419,419,419,419,419,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,269,319,269,319,319,319,319,319,269,319,319,319,269,319,,319,319,319,269,269,,319,319,269
Y,419,439,419,439,439,439,439,439,399,439,439,439,419,439,,439,439,439,419,419,,439,439,419
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,419,399,419,419,399,399,399,399,399,399,399,419,419,399,,419,399,399,419,419,,399,419,419
Y,100,150,100,200,150,150,150,150,99,150,150,200,100,150,,200,150,150,100,119,,150,200,100
Y,249,299,249,299,299,299,299,299,259,299,299,299,249,299,,299,299,299,249,249,,299,299,249
Y,30,30,30,40,30,30,30,30,40,30,30,40,30,30,,40,30,30,30,30,,30,40,30
Y,30,30,30,40,30,30,30,30,40,30,30,40,30,30,,40,30,30,30,30,,30,40,30
Y,30,30,30,40,30,30,30,30,40,30,30,40,30,30,,40,30,30,30,30,,30,40,30
Y,30,40,30,40,40,40,40,40,30,40,40,40,30,40,,40,40,40,30,30,,40,40,30
Y,50,80,80,100,80,80,100,80,59,80,80,80,80,80,,80,80,80,50,50,,80,80,50
Y,359,349,359,349,349,349,349,349,339,349,369,349,359,349,,349,349,349,359,359,,349,349,359
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,349,369,349,389,369,369,369,369,249,369,369,389,349,369,,389,369,369,349,349,,369,389,349
Y,449,459,449,499,469,469,459,459,389,469,459,489,449,469,,479,469,469,449,449,,459,479,449
Y,359,369,359,369,369,369,369,369,369,369,369,369,359,369,,369,369,369,359,359,,369,369,359
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,359,349,349,349,349,369,349,349,359,359,359,,359,349,349,359,359,,349,359,359
Y,419,399,419,439,399,399,399,399,459,399,399,439,419,399,,419,399,399,419,419,,399,439,419
Y,419,399,419,419,399,399,399,399,399,399,419,419,419,419,,419,399,419,419,419,,399,419,419
