Y,199,199,189,199,199,199,219,289,229,199,199,279,199,289,289,,279,189,289,279,269,199,199,269,289,199,199,199,189,189,199,199,179,289,279,279,199,199,219,189,289,199,199,199,279,199,199,199,,269,219,199,199,199,199,199,189,199,199,199,199,189
Y,199,199,189,199,199,199,219,289,229,199,199,279,199,289,289,,279,189,289,279,269,199,199,269,289,199,199,199,189,189,199,199,179,289,279,279,199,199,219,189,289,199,199,199,279,199,199,199,,269,219,199,199,199,199,199,189,199,199,199,199,189
Y,139,139,129,139,139,179,139,269,139,129,129,269,129,269,269,,269,129,269,269,269,139,139,269,269,129,139,179,139,139,139,139,199,269,269,269,139,139,139,129,269,139,139,139,269,139,129,129,,269,139,139,139,139,139,129,129,129,139,179,139,129
Y,269,269,249,269,269,219,269,279,269,249,259,279,249,279,279,,279,249,279,279,279,239,269,279,279,249,269,219,269,269,269,269,219,279,279,279,269,269,269,249,279,269,269,269,279,269,259,249,,279,259,269,269,269,239,249,249,249,239,219,269,249
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
Y,39,39,49,39,39,39,39,39,39,49,49,39,49,39,39,,39,49,39,39,39,39,39,39,39,49,39,39,39,39,39,39,,39,39,39,39,39,39,49,39,39,39,39,39,39,49,49,,39,39,39,39,39,39,49,49,49,39,39,39,49
Y,458,429,569,429,429,589,559,,418,569,569,,569,,,,,569,,,,,429,,,569,429,589,559,559,429,429,,,,,429,429,549,569,,429,429,429,,429,569,569,,,569,429,429,549,,569,569,569,,569,429,569
