any,1248,1249,2111,2332,2515,2693,2731,3059,5978,5979,6524,6844,7507,7508,7575,7593,10297,11551,11844,11906,12084,12221,12222,12612,13080,13124,13379,13501,13978,15288,15350,15594,15719,15722,17338,17806,18406,20103,20259,24659,28996,31587,31872,32221,32354,33313,34384
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,30,,50,50,,30,50,,,30,,50,50,50,,30,50,50,,,30,25,50,30,45,50,,30,,50,,30,45,,,30,50,50,30,,,30,,,,,50
Y,30,,50,50,,30,50,,,30,,50,50,50,,30,50,50,,,30,25,50,30,50,50,,30,,50,,30,50,,,30,50,50,30,,,30,,,,,50
Y,1150,,,,,1150,,1190,1189,1150,1179,,,,,1270,,,1190,,1270,1000,,1270,1189,,,1270,,,1190,1270,1169,,,1270,,,1160,,,1270,,1190,,,
Y,1085,,,,,1085,,1120,1119,1085,1129,,,,,1160,,,1120,,1160,930,,1160,1099,,,1160,,,1120,1160,1099,,,1160,,,1085,,,1160,,1120,,,
Y,730,,,,,730,,750,750,730,739,,,,,800,,,750,,800,680,,800,739,,,800,,,750,800,739,,,800,,,730,,,800,,750,,,
Y,180,215,200,175,215,175,175,125,125,175,149,175,200,175,200,100,175,175,125,160,100,150,175,100,149,175,215,100,215,175,125,100,149,220,,100,175,200,175,215,,100,210,125,215,215,175
Y,160,139,,,139,160,,100,100,160,,,,,139,100,,,100,139,100,100,,100,,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,530,,599,599,,550,625,500,545,565,589,599,599,605,,580,599,599,520,525,580,500,589,590,549,589,,560,,599,575,590,559,,,590,599,600,550,,,590,,520,,,599
Y,85,68,68,70,68,85,57,68,68,85,68,70,68,57,68,68,70,56,68,68,68,58,70,68,68,70,68,68,68,57,68,68,68,68,,68,70,57,85,68,,68,68,68,68,68,70
Y,30,,,,,30,,25,25,30,19,,,,,,,,25,,,25,,,19,,,,,,25,,19,,,,,30,30,,,,,25,,,
Y,30,,,,,30,,25,25,30,19,,,,,,,,25,,,25,,,19,,,,,,25,,19,,,,,30,30,,,,,25,,,
Y,30,,,,,30,,25,25,30,19,,,,,,,,25,,,25,,,19,,,,,,25,,19,,,,,30,30,,,,,25,,,
Y,25,,10,10,,25,10,25,25,25,25,10,10,10,,15,10,10,25,35,15,25,10,15,25,10,,15,,10,25,15,40,,,15,10,10,25,,,15,,25,,,10
Y,75,,50,50,,75,50,,,75,20,50,50,50,,,50,50,,45,,25,50,,30,50,,,,50,,,30,,,,50,50,75,,,,,,,,50
Y,25,,,,,25,,15,15,25,50,,,,,100,,,15,50,50,25,,50,50,,,50,,,15,50,50,,,50,,,25,,,50,,15,,,
Y,430,,,,,430,,,,529,,,,,,,,,,,389,,,,275,,,,,,,,275,,,389,,,430,,,,,,,,
Y,525,590,569,569,590,515,560,480,479,515,489,569,569,580,580,490,589,589,490,515,490,430,569,490,499,569,590,490,590,589,480,490,499,590,,490,569,539,490,590,,490,580,485,590,590,569
Y,75,70,100,100,70,75,100,50,50,75,30,100,100,100,70,60,100,100,50,50,60,50,100,60,30,100,70,60,70,100,50,60,30,70,,60,100,100,75,70,,60,70,50,70,70,100
Y,25,,,,,25,,,,30,100,,,,,,,,,,,,,,25,,,,,,,,25,,,,,,25,,,,,,,,
Y,470,,800,800,,470,825,459,459,500,449,800,800,825,,450,800,825,459,475,429,425,800,450,420,800,,450,,825,459,450,420,,,429,800,850,470,,,450,,459,,,800
Y,535,,900,900,,535,925,539,539,579,689,900,900,925,,719,900,925,539,650,719,515,900,719,689,900,,719,,925,539,719,699,,,719,900,950,535,,,719,,539,,,900
Y,170,185,300,300,185,170,300,,,170,219,300,300,300,185,,300,300,,189,,,300,,199,300,185,,185,300,,,199,185,,,300,300,170,185,,,185,,185,185,300
Y,200,215,329,329,215,200,320,220,219,200,239,329,329,320,215,230,329,329,220,219,230,200,329,220,199,329,215,230,215,329,220,220,199,215,,230,329,329,200,215,,230,215,220,215,215,329
