Y,399,389,389,389,389,359,389,389,389,389,389,389,389,399,369,399,389,389,,399,389,399,399,389,399,389,389,359,389,389,399,399,,389,389,389,399,,349,419,389,389,389,399,399,389,,399,389,419,389,399,,389,389,,419,349,389
Y,259,259,259,259,249,189,249,259,259,259,249,259,249,259,189,259,249,249,,259,259,259,259,249,259,259,259,199,259,249,259,259,,249,249,259,259,,189,199,259,259,259,259,259,259,,259,249,199,259,259,,249,249,,199,199,249
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,289,279,279,279,269,229,269,279,279,289,289,279,269,289,229,289,279,269,,289,279,289,289,269,289,289,279,229,289,269,289,289,,279,269,289,289,,219,249,289,279,289,289,289,279,,289,279,219,279,289,,279,279,,219,219,269
Y,289,279,279,279,269,229,269,279,279,289,289,279,269,289,229,289,279,269,,289,279,289,289,269,289,289,279,229,289,269,289,289,,279,269,289,289,,219,249,289,279,289,289,289,279,,289,279,219,279,289,,279,279,,219,219,269
Y,279,269,269,269,269,189,269,269,269,269,269,269,269,279,129,279,269,269,,279,269,279,279,269,279,269,269,189,269,269,279,279,,269,269,269,279,,139,169,269,269,269,279,279,269,,279,269,169,269,279,,269,269,,169,139,269
Y,359,419,399,399,399,349,399,399,399,419,419,399,419,359,399,359,419,399,,359,399,359,359,399,359,419,399,349,399,419,359,359,,419,399,419,359,,349,369,419,399,419,359,359,399,,359,399,259,399,359,,419,419,,269,369,419
Y,299,279,279,279,279,279,279,279,279,279,279,279,279,299,269,299,279,279,,299,279,299,299,279,299,279,279,279,279,279,299,299,,279,279,279,299,,269,289,279,279,279,299,299,279,,299,279,269,279,299,,279,279,,259,279,279
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,429,,,,,519,,,,,,,,429,,429,,,,429,,429,429,,429,,,519,,,429,429,,,,,429,,539,689,,,,429,429,,,429,,819,,429,,,,,819,519,
Y,249,249,249,249,249,169,249,249,249,249,249,249,249,249,119,249,249,249,,249,249,249,249,249,249,249,249,169,249,249,249,249,,249,249,249,249,,129,139,249,249,249,249,249,249,,249,249,159,249,249,,249,249,,159,129,249
Y,399,399,399,399,399,359,399,399,399,399,399,399,399,399,329,399,399,399,,399,399,399,399,399,399,399,399,359,399,399,399,399,,399,399,399,399,,319,359,399,399,399,399,399,399,,399,399,279,399,399,,399,399,,279,319,399
Y,569,599,589,589,599,519,599,589,589,599,599,589,599,569,519,569,599,599,,569,589,569,569,589,569,599,589,529,599,599,569,569,,599,599,599,569,,539,569,589,599,599,569,569,589,,569,599,529,589,569,,599,599,,529,539,599
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,849,,,,,,,,,,,,,849,,849,,,,849,,849,849,,849,,,,,,849,849,,,,,849,,649,,,,,849,849,,,849,,,,849,,,,,,659,
Y,839,,,,,,,,,,,,,839,,839,,,,839,,839,839,,839,,,,,,839,839,,,,,839,,509,,,,,839,839,,,839,,,,839,,,,,,509,
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
