any,1199,1657,2155,4820,5964,6123,6723,7049,7148,7153,7468,7548,7601,7602,7943,7953,7972,8007,8015,11173,13355,13378,14195,14196,18138,18691,25845,27354,31791,33728,35221
Y,350,370,280,380,380,259,299,389,369,440,259,289,410,350,349,380,,280,299,,390,360,,,340,380,,400,280,480,390
Y,400,380,300,450,400,399,319,439,399,460,399,319,420,420,399,400,,300,329,,440,390,,,390,400,,420,300,510,420
Y,450,400,320,470,480,469,339,469,479,480,479,339,480,490,419,450,,320,349,,470,470,,,440,440,,460,320,540,460
Y,350,350,280,370,360,259,299,379,369,440,259,289,370,350,339,370,,280,299,,390,360,,,340,370,,370,280,480,360
Y,400,370,300,390,400,399,319,439,399,460,399,319,410,400,389,390,,300,329,,440,390,,,370,390,,400,300,510,390
Y,450,400,320,450,470,469,339,469,479,480,479,339,460,470,409,440,,320,349,,460,470,,,440,440,,450,320,540,460
Y,120,120,150,120,129,169,169,129,139,120,169,169,120,120,129,120,,150,169,,120,120,,,120,120,,120,150,149,120
Y,390,410,,420,420,399,,429,419,410,399,,420,420,389,410,,,,,410,390,,,420,410,,410,,520,420
Y,60,40,,30,30,50,,59,39,30,50,,,,,30,,,,,,,,,30,,,40,,50,30
Y,390,380,340,400,400,459,469,409,459,395,459,449,395,395,399,420,,340,449,,380,370,,,440,395,,420,340,500,450
Y,470,450,440,460,450,529,499,479,559,450,519,529,460,460,485,450,,440,529,,450,440,,,470,450,,450,440,580,470
Y,495,495,480,560,495,559,569,549,609,490,559,579,500,520,555,490,,480,599,,470,480,,,495,480,,520,480,620,500
Y,390,380,340,400,400,459,469,409,459,395,459,449,395,395,399,420,,340,449,,380,370,,,440,395,,420,340,500,450
Y,470,450,440,460,450,529,499,479,559,450,519,529,460,460,485,450,,440,529,,450,440,,,470,450,,450,440,580,470
Y,300,350,260,380,340,259,289,339,359,290,259,289,360,370,349,320,,260,289,,290,340,,,290,300,,360,260,450,320
