any,220,235,364,1424,2023,2279,2427,2570,3140,3397,3498,3514,3865,3907,4071,4092,4179,4238,4404,4456,4644,4654,4738,4787,4919,5249,5553,5590,5659,5731,5808,6011,6029,6228,6231,6849,7164,7712,8084,10147,10367,10393,10833,10858,11060,11066,11098,11473,11550,11796,11807,11885,12190,12391,12495,12501,13262,13697,14673,15793,16369,18534,20105,20533,21191,22258,22591,22592,22852,23481,23529,23895,24370,25211,26250,27183,27525,28191,28808,28828,30148,30374,30519,30578,30903,30968,31141,31188,31305,31397,31404,31442,31566,31869,31902,31973,32613,33423,33972,35806
Y,799,729,779,769,819,909,889,779,779,749,929,779,799,779,909,809,729,,749,889,829,779,799,819,,779,779,779,849,829,889,1129,729,889,949,969,779,799,889,969,969,779,889,779,,889,,799,889,909,,909,769,799,779,779,789,779,799,,,749,809,969,909,739,779,779,779,889,779,809,779,839,1119,969,799,799,,,,,,,,,809,889,,,779,909,969,809,,799,779,909,819,
Y,499,409,499,459,499,599,599,499,409,479,589,499,539,469,639,519,409,,479,619,449,499,429,499,,499,499,519,559,529,619,669,409,589,649,600,499,489,589,600,600,499,649,499,,619,,499,609,599,,639,479,499,469,409,539,499,489,,,449,519,600,639,479,499,499,469,619,499,489,469,559,699,600,549,529,,,,,,,,,439,509,,,499,599,600,519,,499,499,599,489,
Y,1759,,1999,,,,,,,1999,1699,1999,1699,1799,1699,,,,1969,1699,,1999,,,,1999,1999,,1799,,1699,2000,,,,2099,1999,,,2199,2199,1999,1699,,,,,,1699,,,1699,1999,,1799,,1729,1999,,,,1999,,2199,1699,1999,1999,1999,1799,1699,1999,,1799,1699,,2199,1729,1999,,,,,,,,,,,,,1999,,2199,,,,1999,,,
Y,35,70,69,35,99,79,50,35,79,99,89,69,79,69,99,50,70,,99,79,79,69,79,79,,69,69,35,89,99,69,70,70,50,89,95,69,60,50,95,95,69,89,35,,69,,60,99,79,,99,79,99,65,79,69,69,60,,,99,50,95,99,99,69,69,65,79,69,35,69,99,60,95,79,67,,,,,,,,,79,79,,,69,79,95,50,,60,69,79,119,
Y,289,,359,299,,,309,319,,329,299,359,259,,,309,,,279,,,359,,,,359,359,279,,,,,,309,,,359,329,309,,,359,,319,,,,329,359,,,,289,,,,249,369,319,,,279,309,,,279,359,359,,,359,319,,359,,,299,339,,,,,,,,,,,,,359,,,309,,319,359,,,
Y,539,,589,569,,,519,539,,579,,589,479,,,499,,,529,,,589,,,,589,589,579,,,,,,519,,,589,559,519,,,589,,579,,,,559,559,,,,539,,,,499,589,549,,,529,499,,,559,589,589,,,589,519,,539,,,549,519,,,,,,,,,,,,,589,,,499,,549,589,,,
Y,249,259,259,249,249,399,329,269,269,219,229,259,229,299,329,329,259,,219,279,279,259,269,249,,259,259,249,229,249,200,289,259,329,429,380,259,299,329,380,380,259,279,249,,349,,299,319,399,,329,219,249,299,269,229,259,299,,,219,329,380,329,229,259,259,299,279,259,249,299,319,439,380,229,249,,,,,,,,,,279,,,259,399,380,329,,299,259,399,249,
Y,369,339,369,399,299,499,419,379,399,359,319,369,299,389,419,419,339,,359,359,409,369,399,299,,369,369,399,329,299,359,369,339,419,529,430,369,399,419,430,430,369,389,399,,389,,399,389,499,,419,339,299,389,399,299,369,399,,,359,419,430,419,339,369,369,389,389,369,369,389,389,529,430,299,389,,,,,,,,,,409,,,369,499,430,419,,399,369,499,299,
Y,419,369,419,449,349,599,469,429,449,399,379,419,359,439,459,469,369,,419,419,459,419,449,349,,419,419,449,389,349,419,419,369,469,599,480,419,449,469,480,480,419,439,449,,439,,449,439,599,,459,399,349,439,449,349,419,449,,,419,469,480,459,389,419,419,439,439,419,419,439,439,599,480,369,439,,,,,,,,,,459,,,419,599,480,469,,449,419,599,349,
Y,100,100,109,100,89,139,129,100,100,100,,100,100,119,100,129,100,,109,100,100,100,100,99,,100,100,100,100,99,100,139,100,129,139,,100,100,129,150,150,100,100,100,,100,,100,100,139,,100,100,99,119,100,100,100,100,,,109,129,150,100,100,100,100,119,100,100,100,119,100,139,150,109,100,,,,,,,,,100,129,,,139,139,150,129,,100,100,139,89,
Y,159,179,169,169,199,179,179,159,199,219,219,169,169,159,179,159,179,,179,179,189,159,199,199,,159,159,169,199,219,179,219,179,179,199,240,179,189,179,250,250,179,179,159,,179,,189,179,179,,179,199,199,169,199,169,179,189,,,169,159,250,179,179,179,159,159,179,169,159,159,179,149,250,169,159,,,,,,,,,189,189,,,159,189,250,159,,189,169,179,199,
Y,619,629,589,669,659,859,719,649,659,629,689,619,579,679,709,669,599,,659,669,749,609,669,659,,619,609,709,799,699,679,829,619,719,879,722,609,659,719,725,725,619,679,699,,679,,659,689,829,,709,639,659,679,659,599,619,649,,,639,669,725,709,659,619,589,679,669,609,659,679,669,979,725,589,649,,,,,,,,,679,779,,,599,859,725,669,,659,609,869,659,
Y,619,539,629,759,719,969,779,659,689,679,698,639,599,730,759,747,519,,689,759,739,629,699,679,,639,629,769,799,699,779,829,539,779,989,722,639,649,779,725,725,639,779,779,,779,,649,729,929,,759,719,699,730,679,589,639,649,,,689,747,725,759,739,639,629,730,759,639,659,730,709,1049,725,659,679,,,,,,,,,669,819,,,629,969,725,747,,649,639,979,719,
Y,639,599,609,659,629,869,689,659,659,639,669,629,599,669,679,669,599,,649,659,729,609,659,649,,629,609,679,799,679,679,839,599,689,869,722,609,659,689,730,730,609,679,679,,679,,659,659,839,,679,639,639,669,649,589,619,659,,,639,669,730,679,649,619,609,669,659,609,629,669,649,949,730,599,669,,,,,,,,,649,749,,,619,869,730,669,,659,609,879,659,
Y,159,189,199,169,219,179,189,159,219,179,219,199,169,159,229,189,189,,189,169,219,199,219,219,,199,199,159,219,239,169,239,199,189,179,200,199,229,189,200,200,199,169,169,,169,,239,169,179,,229,169,219,159,219,149,219,229,,,199,189,200,229,159,199,199,159,169,199,159,159,169,169,200,159,239,,,,,,,,,219,219,,,199,179,200,189,,239,199,179,219,
Y,149,169,159,169,129,199,179,149,189,119,179,159,119,159,100,179,169,,119,129,189,159,189,129,,159,159,169,199,129,129,149,169,179,199,190,159,119,179,190,190,159,129,169,,129,,119,100,199,,100,119,129,159,189,99,159,119,,,119,179,190,100,119,159,159,159,129,159,149,159,100,199,190,119,119,,,,,,,,,189,189,,,159,199,190,179,,119,159,199,129,
Y,239,259,199,269,239,389,214,299,249,219,229,199,199,269,289,214,239,,249,229,289,219,269,219,,199,219,249,309,259,229,229,249,214,389,240,199,239,214,240,240,199,229,249,,229,,239,249,389,,289,229,199,269,259,219,199,239,,,239,214,240,289,219,199,199,269,229,199,269,269,199,469,240,199,279,,,,,,,,,219,329,,,199,389,240,214,,229,199,389,199,
