Y,349,239,339,289,289,349,339,240,325,259,239,329,299,299,349,325,339,329,299,289,239,349,,299,289,339,299
Y,449,409,439,389,389,449,439,400,500,329,409,379,349,349,449,500,439,359,349,389,409,449,,349,389,439,349
Y,499,459,499,449,449,499,499,450,550,409,459,419,379,379,499,550,499,389,379,449,459,499,,389,449,499,489
Y,499,459,499,449,449,499,499,450,550,419,459,329,289,329,499,550,499,289,319,449,459,499,,319,449,499,289
Y,289,249,319,359,349,289,359,335,329,319,259,289,249,249,259,325,329,239,269,369,239,289,,269,359,319,279
Y,459,429,419,479,479,459,459,450,500,399,399,359,359,359,439,500,429,319,349,479,399,459,,379,479,479,369
Y,499,499,569,549,559,499,549,560,559,439,479,459,449,449,489,550,569,419,479,569,459,499,,489,569,579,479
Y,69,139,99,159,159,69,99,80,125,99,139,159,139,189,79,125,99,139,139,159,139,69,,169,159,109,139
Y,449,409,439,389,389,449,439,400,500,319,409,289,259,289,449,500,439,259,279,389,409,449,,279,389,439,259
Y,349,239,339,289,289,349,339,240,325,249,239,259,219,259,349,325,339,219,219,289,239,349,,239,289,339,219
Y,449,419,439,479,479,449,439,475,500,439,439,429,419,389,479,500,459,399,419,479,419,439,,419,479,469,399
Y,519,499,539,539,549,499,569,540,569,539,489,469,449,449,519,550,539,469,449,539,499,499,,489,539,569,499
Y,499,499,569,549,559,499,549,560,559,439,479,459,449,449,489,550,569,419,479,569,459,499,,489,569,579,479
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,100,100,149,139,139,100,149,139,,100,100,100,109,100,100,,149,109,109,139,100,100,,100,139,149,109
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,849,869,929,949,949,849,919,985,1089,859,859,849,839,849,869,1085,939,829,829,929,829,859,,879,949,949,829
Y,100,139,149,169,169,100,149,100,100,139,139,149,149,149,100,100,149,149,149,169,139,100,,149,169,149,149
Y,349,239,,289,289,349,,240,350,239,239,269,239,269,349,350,,239,239,289,239,349,,259,289,,239
Y,449,419,,389,389,449,,400,450,299,419,319,269,319,449,450,,269,289,389,419,449,,289,389,,269
Y,499,459,,449,449,499,,450,550,379,479,349,319,349,499,550,,319,329,449,459,499,,324,449,,319
Y,349,239,339,289,289,349,339,240,350,249,239,259,219,259,349,350,339,219,219,289,239,349,,239,289,339,219
Y,449,419,439,389,389,449,439,400,450,319,419,289,259,289,449,450,439,259,279,389,419,449,,279,389,439,259
Y,499,459,499,449,449,499,499,450,550,339,459,329,289,329,499,550,499,289,319,449,459,499,,319,449,499,289
Y,269,229,269,199,239,269,249,240,329,239,229,249,229,229,269,320,269,239,229,199,229,269,,229,199,279,229
Y,299,259,289,279,279,299,279,280,439,289,259,279,249,249,299,425,299,259,249,279,269,299,,259,279,299,259
Y,369,269,329,329,329,369,329,109,350,299,259,279,309,289,369,350,329,279,269,329,259,369,,289,329,329,329
Y,719,699,719,929,919,729,729,795,950,729,719,679,659,699,709,950,699,689,729,899,689,719,,679,929,799,689
Y,139,139,139,139,139,139,139,150,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,160,139,149,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,449,419,459,479,479,449,459,475,500,439,439,429,419,389,479,500,459,399,419,479,419,439,,419,479,459,399
Y,519,499,559,539,549,499,559,540,569,539,489,469,449,449,519,550,559,469,449,539,499,499,,489,539,559,499
Y,369,289,359,359,339,379,359,360,325,299,269,259,239,249,389,325,359,249,249,359,289,389,,289,339,359,299
Y,369,289,359,359,339,379,349,360,325,299,269,259,239,249,389,325,349,249,249,359,289,389,,289,339,349,299
Y,269,289,269,299,299,279,299,195,200,229,259,259,289,269,249,210,269,259,249,299,269,289,,249,299,299,269
Y,299,339,349,349,369,299,349,280,250,319,319,299,299,339,299,250,349,299,299,359,329,299,,299,349,349,299
Y,739,669,719,789,779,739,759,795,850,679,669,759,779,729,749,860,759,749,719,759,679,739,,719,789,729,749
Y,689,549,679,749,749,699,709,705,609,619,549,629,589,609,689,630,709,609,609,749,569,689,,619,749,709,619
Y,399,319,469,439,419,399,469,430,369,319,349,299,339,269,419,360,469,339,319,439,349,399,,289,469,439,279
Y,519,439,539,519,519,519,519,525,469,419,449,319,419,339,539,460,519,419,399,519,449,519,,349,539,539,349
Y,569,459,569,599,589,569,569,575,539,449,479,419,439,399,589,535,569,439,419,599,499,569,,419,599,589,439
Y,449,429,519,479,469,459,499,480,539,459,439,429,459,449,459,545,499,459,499,489,439,469,,429,489,499,469
Y,449,429,519,479,469,459,499,480,539,459,439,429,459,449,459,545,499,459,499,489,439,469,,429,489,499,469
Y,59,110,79,79,79,59,79,50,125,119,110,35,35,35,59,125,79,35,35,79,110,59,,35,79,79,35
Y,29,39,39,50,50,29,39,40,30,,39,39,39,39,29,30,39,39,39,50,39,29,,39,50,39,39
Y,119,200,200,199,199,119,200,100,250,149,200,110,159,110,119,250,200,159,159,199,200,119,,110,199,200,159
Y,229,250,289,300,300,229,289,300,300,229,250,220,220,220,229,300,289,220,220,300,250,229,,220,300,289,220
Y,339,389,439,369,369,339,439,425,550,339,389,329,289,329,339,550,439,289,319,369,389,339,,319,369,439,289
Y,1429,,1299,,,1429,1299,,,,,,,,1429,,1299,,,,,1429,,,,799,
Y,239,219,259,,,239,239,125,300,199,239,199,199,199,199,300,199,169,219,,219,239,,199,,319,259
Y,89,125,159,200,200,89,159,90,175,119,125,130,130,130,89,175,159,130,130,200,125,89,,130,200,159,130
Y,629,539,619,799,799,629,619,715,779,609,569,649,639,619,639,795,619,619,609,799,579,629,,629,799,649,609
Y,899,829,939,1099,1099,899,949,1020,1069,829,849,899,859,849,959,1090,929,849,849,1089,859,899,,869,1099,959,849
Y,979,879,979,1169,1169,979,979,1085,1169,899,889,949,909,899,999,1190,999,899,899,1149,899,989,,919,1169,999,899
Y,659,619,679,879,879,669,699,795,879,659,629,699,689,689,659,880,719,669,699,879,619,649,,729,879,789,699
Y,999,929,1029,1209,1209,999,1039,1130,1229,959,919,969,939,939,1019,1235,1059,939,939,1189,919,999,,989,1209,1069,939
Y,769,,759,969,949,779,769,870,975,749,,739,709,739,759,975,739,739,779,939,,769,,739,969,859,729
Y,1119,,1059,1299,1299,1129,1069,1204,1325,949,,989,919,939,1149,1325,1069,949,929,1299,,1119,,939,1299,1119,939
Y,229,189,269,379,379,229,279,290,400,219,189,199,229,259,249,400,269,199,239,379,189,229,,239,379,279,249
Y,1199,,1149,1349,1349,1199,1159,1274,1425,1059,,1039,999,1019,1189,1425,1159,1019,1019,1349,,1199,,1019,1349,1169,1009
Y,789,759,819,1089,1069,799,829,925,1050,829,779,799,769,829,819,1050,799,799,849,1059,759,789,,829,1089,929,749
Y,1159,1059,1129,1379,1379,1159,1129,1259,1375,1029,1079,1019,959,989,1199,1375,1129,969,949,1379,1059,1159,,1019,1379,1169,959
Y,1239,1129,1219,1429,1429,1239,1219,1349,1475,1079,1139,1059,1029,1129,1239,1475,1219,1029,1039,1429,1129,1239,,1059,1429,1239,1029
Y,100,100,149,,,100,149,139,,100,100,100,119,100,100,,149,119,119,,100,100,,100,,149,119
Y,100,139,100,,,100,100,139,,100,139,139,139,139,100,,100,139,139,,139,100,,139,,100,139
Y,139,139,139,,,139,139,139,,139,139,139,139,139,139,,139,139,139,,139,139,,139,,139,139
Y,139,139,139,,,139,139,139,,139,139,139,139,139,139,,139,139,139,,139,139,,139,,139,139
Y,229,275,319,200,200,229,319,425,300,339,275,230,230,230,229,300,319,230,230,200,275,229,,230,200,319,230
Y,229,159,239,239,229,229,259,150,269,199,159,199,169,239,229,260,239,169,139,229,169,229,,189,219,249,169
Y,509,,509,,,509,539,,,,,,,,529,,529,,,,,509,,,,,
Y,249,199,289,419,419,249,299,300,400,219,189,229,229,269,269,420,299,219,279,419,189,249,,239,399,299,249
Y,699,618,769,799,799,699,799,779,899,589,608,729,669,679,699,900,769,689,659,799,598,699,,689,799,769,669
Y,379,389,439,519,519,379,459,395,559,319,389,349,369,379,399,555,459,349,369,519,369,379,,379,519,439,359
