Y,75,75,,75,,,,,,,,,,,,,,,,,,,,,,,,,75,
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,129,129,289,129,279,219,200,279,200,279,200,200,339,169,219,200,279,200,200,289,200,200,,279,279,200,289,289,129,279
Y,199,199,329,199,319,259,409,329,409,319,409,409,389,219,259,409,319,409,409,329,229,409,,319,319,219,329,329,199,319
Y,249,249,369,249,359,299,449,359,469,359,469,469,409,239,299,469,359,469,469,359,239,469,,359,359,239,369,369,249,359
Y,339,339,279,339,279,249,299,279,299,,299,279,339,289,249,299,279,299,299,279,219,319,,279,279,219,279,279,339,279
Y,439,439,389,439,389,389,499,389,499,389,499,499,389,369,389,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,499,499,429,499,429,459,539,429,539,429,539,539,439,419,459,539,429,559,539,429,429,539,,429,429,429,429,429,499,429
Y,339,339,279,339,279,249,299,279,299,279,299,279,339,289,249,299,279,299,299,279,219,319,,279,279,219,279,279,339,279
Y,439,439,389,439,389,389,499,389,499,389,499,499,389,369,389,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,1459,1459,1419,1459,1419,1319,1489,1499,1549,1449,1499,1499,1569,1329,1319,1489,1419,1483,1489,1549,1279,1489,,1399,1449,1279,1419,1399,1459,1619
Y,499,499,429,499,429,459,539,429,539,429,539,539,439,419,459,539,429,559,539,429,429,539,,429,429,429,429,429,499,429
Y,339,339,279,339,279,219,279,279,279,279,279,279,339,269,219,279,279,279,279,279,219,279,,279,279,219,279,,339,279
Y,439,439,389,439,389,359,499,389,499,389,499,499,389,329,359,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,499,499,439,499,439,399,519,439,519,439,519,529,439,389,399,519,439,519,519,439,399,519,,439,439,399,439,439,499,439
Y,419,419,429,419,459,379,449,419,419,399,399,449,379,369,379,399,459,429,439,419,349,419,,429,419,349,419,419,419,419
Y,469,469,469,469,499,429,489,449,479,459,469,489,419,429,429,489,489,489,499,499,399,479,,489,489,399,469,499,469,479
