Y,1290,1270,1295
Y,1370,1350,1375
Y,1225,1100,1150
Y,1735,1570,1605
Y,1815,1650,1685
Y,1905,1740,1775
Y,1595,1410,1470
Y,695,695,695
Y,1750,1655,1720
Y,1840,1725,1805
Y,1240,1215,1250
Y,2660,2540,2660
Y,1400,1340,1420
Y,1400,1360,1430
Y,2455,2400,2420
Y,2115,2000,2030
Y,2120,2005,2025
Y,1745,1660,1680
Y,1800,1725,1785
Y,1560,1510,1545
Y,1610,1550,1575
Y,1505,1435,1470
Y,960,960,1000
Y,820,770,900
Y,1045,1025,1070
Y,2100,1995,2010
Y,1905,1830,1895
Y,1865,1760,1870
Y,1550,1540,1605
Y,745,795,745
Y,1250,1130,1175
Y,1330,1210,1255
Y,1420,1300,1345
Y,1140,1280,1130
Y,1695,1695,1695
Y,1785,1785,1785
Y,695,695,695
Y,1175,1090,1130
Y,1705,1575,1575
Y,1785,1655,1655
Y,1875,1745,1745
Y,1220,1135,1175
Y,1750,1620,1620
Y,1830,1700,1700
Y,1920,1790,1790
Y,1015,975,1055
Y,1505,1435,1480
Y,1585,1515,1560
Y,1675,1605,1650
Y,1160,1115,1190
Y,1645,1570,1615
Y,1725,1650,1695
Y,1815,1740,1785
Y,1275,1255,1250
Y,1715,1635,1640
Y,1795,1715,1720
Y,1885,1805,1810
Y,1575,1490,1540
Y,1655,1570,1620
Y,1745,1660,1710
Y,2695,2695,2695
Y,4145,4075,4045
Y,5415,5295,5275
Y,770,760,720
Y,75,80,75
Y,75,80,75
Y,750,710,715
Y,775,765,775
Y,825,810,830
Y,580,545,580
Y,650,595,630
Y,715,665,730
Y,640,585,590
Y,710,655,660
Y,740,695,725
Y,490,500,485
Y,660,610,615
Y,700,685,690
Y,735,725,715
Y,490,500,485
