any,1157,1553,1841,1872,2557,3015,3021,3852,4363,6373,6830,8031,10092,10688,10982,11335,12233,12242,12751,14325,14670,14960,15795,17552,22198,23316,24998,26456
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,699,669,649,699,639,699,699,619,,659,629,779,699,729,699,699,699,699,669,639,699,699,649,699,629,,699,
Y,1039,869,859,1039,899,1039,1039,859,,859,859,1019,1039,1029,1039,1039,1039,1039,859,899,1039,1039,859,1039,859,,1039,
Y,300,369,339,300,359,300,300,359,,339,349,300,300,,300,300,300,300,359,359,300,300,359,300,359,,300,
Y,239,269,269,239,259,239,239,269,,269,269,259,239,229,239,239,239,239,269,259,239,239,269,239,269,,239,
Y,389,389,389,389,359,389,389,389,,389,389,419,389,349,389,389,389,389,389,419,389,389,359,389,389,,389,
Y,239,269,279,239,259,239,239,279,,279,279,229,239,229,239,239,239,239,289,259,239,239,289,239,279,,239,
Y,399,369,369,399,359,399,399,369,,369,369,419,399,349,399,399,399,399,369,359,399,399,369,399,369,,399,
Y,239,239,239,239,249,239,239,239,,239,239,219,239,229,239,239,239,239,239,249,239,239,239,239,239,,239,
Y,389,369,369,389,379,389,389,369,,369,369,419,389,389,389,389,389,389,369,379,389,389,369,389,369,,389,
Y,199,219,219,199,159,199,199,219,,219,219,139,199,189,199,199,199,199,219,169,199,199,219,199,219,,199,
Y,239,239,269,239,249,239,239,269,,269,269,259,239,229,239,239,239,239,269,249,239,239,269,239,269,,239,
Y,20,59,59,20,39,20,20,59,,59,59,50,20,30,20,20,20,20,59,39,20,20,59,20,59,,20,
Y,69,129,89,69,89,69,69,89,,89,89,149,69,99,69,69,69,69,89,89,69,69,89,69,89,,69,
Y,319,319,319,319,299,319,319,319,,319,319,349,319,289,319,319,319,319,319,299,319,319,289,319,319,,319,
Y,339,329,329,339,319,339,339,329,,329,329,339,339,289,339,339,339,339,329,399,339,339,329,339,329,,339,
Y,319,279,319,319,299,319,319,299,,319,319,199,319,279,319,319,319,319,319,299,319,319,319,319,219,,319,
Y,399,359,389,399,379,399,399,389,,389,389,399,399,379,399,399,399,399,399,379,399,399,399,399,389,,399,
Y,319,319,319,319,319,319,319,319,,319,319,339,319,289,319,319,319,319,319,319,319,319,319,319,319,,319,
Y,219,219,249,219,249,219,219,249,,249,249,269,219,229,219,219,219,219,249,249,219,219,249,219,249,,219,
Y,299,289,329,299,299,299,299,329,,299,319,339,299,289,299,299,299,299,289,299,299,299,289,299,319,,299,
Y,389,319,359,389,359,389,389,359,,359,359,399,389,349,389,389,389,389,359,359,389,389,359,389,359,,389,
Y,389,339,339,389,359,389,389,339,,359,339,399,389,349,389,389,389,389,319,359,389,389,319,389,329,,389,
Y,319,279,319,319,299,319,319,299,,319,319,199,319,279,319,319,319,319,319,299,319,319,319,319,219,,319,
Y,399,359,389,399,379,399,399,389,,389,389,399,399,379,399,399,399,399,399,379,399,399,399,399,389,,399,
Y,459,489,499,459,479,459,459,479,,489,479,459,459,439,459,459,459,459,489,439,459,459,469,459,449,,479,
Y,149,149,149,149,119,149,149,149,,149,149,79,149,69,149,149,149,149,149,119,149,149,149,149,149,,149,
Y,319,299,319,319,299,319,319,319,,319,319,319,319,249,319,319,319,319,299,299,319,319,299,319,319,,319,
Y,239,239,249,239,259,239,239,249,,249,249,200,239,229,239,239,239,239,249,259,239,239,249,239,249,,239,
Y,449,449,439,449,439,449,449,439,,439,439,419,449,459,449,449,449,449,449,439,449,449,449,449,449,,449,
Y,499,519,519,499,519,499,499,519,,519,519,469,499,519,499,499,499,499,519,499,499,499,519,499,499,,519,
Y,459,489,499,459,479,459,459,479,,489,479,459,459,439,459,459,459,459,489,439,459,459,469,459,449,,479,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,119,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,189,149,159,189,149,189,189,149,,149,159,159,189,149,189,189,189,189,149,159,189,189,159,189,159,,179,
Y,829,,,829,589,829,829,,,,,939,829,749,829,829,829,829,,589,829,829,,829,,,829,
Y,1069,949,949,1069,989,1069,1069,949,,949,949,1129,1069,1039,1069,1069,1069,1069,949,1029,1069,1069,949,1069,959,,1069,
Y,139,119,119,139,119,139,139,119,,119,119,149,139,119,139,139,139,139,119,119,139,139,119,139,119,,139,
Y,239,269,269,239,259,239,239,269,,269,269,259,239,229,239,239,239,239,269,259,239,239,269,239,269,,239,
Y,339,329,329,339,319,339,339,329,,329,329,339,339,289,339,339,339,339,329,319,339,339,329,339,329,,339,
Y,389,389,389,389,359,389,389,389,,389,389,419,389,349,389,389,389,389,389,359,389,389,359,389,389,,389,
Y,239,239,239,239,249,239,239,239,,239,239,219,239,229,239,239,239,239,239,249,239,239,239,239,239,,239,
Y,319,319,319,319,299,319,319,319,,319,319,349,319,289,319,319,319,319,319,299,319,319,289,319,319,,319,
Y,389,369,369,389,379,389,389,369,,369,369,419,389,389,389,389,389,389,369,359,389,389,369,389,369,,389,
Y,219,,,219,,219,219,,,,,199,219,,219,219,219,219,,,219,219,,219,,,219,
Y,239,219,219,239,229,239,239,219,,219,219,199,239,229,239,239,239,239,219,229,239,239,219,239,199,,239,
Y,259,239,239,259,259,259,259,239,,239,239,199,259,249,259,259,259,259,249,259,259,259,239,259,199,,259,
Y,2659,2149,2149,2659,1999,2659,2659,2149,,2149,2149,2739,2659,2359,2659,2659,2659,2659,2149,2059,2659,2659,2149,2659,2149,,2659,
Y,199,299,299,199,200,199,199,299,,299,299,319,199,300,199,199,199,199,299,200,199,199,299,199,299,,199,
Y,829,799,859,829,799,829,829,819,,859,849,1099,829,849,829,829,829,829,859,789,829,829,829,829,799,,829,
Y,219,169,169,219,169,219,219,169,,179,169,199,219,189,219,219,219,219,199,169,219,219,169,219,169,,219,
Y,239,199,199,239,199,239,239,199,,199,199,219,239,199,239,239,239,239,219,199,239,239,199,239,199,,239,
Y,449,449,439,449,439,449,449,439,,439,439,419,449,459,449,449,449,449,449,439,449,449,449,449,449,,449,
Y,499,519,519,499,519,499,499,519,,519,519,469,499,519,499,499,499,499,519,499,499,499,519,499,499,,519,
Y,299,289,299,299,289,299,299,299,,299,299,199,299,299,299,299,299,299,299,299,299,299,299,299,229,,299,
Y,299,289,299,299,289,299,299,299,,299,299,199,299,299,299,299,299,299,299,299,299,299,299,299,229,,299,
Y,299,279,289,299,289,299,299,289,,249,259,219,299,279,299,299,299,299,259,299,299,299,299,299,279,,299,
Y,359,339,339,359,359,359,359,359,,339,329,269,359,339,359,359,359,359,339,369,359,359,339,359,329,,369,
Y,799,749,719,799,659,799,799,799,,719,719,869,799,779,799,799,799,799,749,649,799,799,749,799,719,,799,
Y,500,500,500,500,500,500,500,500,,500,500,859,500,500,500,500,500,500,500,500,500,500,500,500,799,,500,
Y,459,419,,459,419,459,459,439,,439,439,499,459,439,459,459,459,459,439,419,459,459,439,459,439,,459,
